名称,地址,经纬度,电话,省份,城市,区县
圣安娜美容美发(加州城店),加州城1号楼2层,"119.368554,25.720730",0591-86071616;0591-86071818,福建省,福州市,福清市
在这里预见FORESEE(万达金街店),音西街道清昌大道105号万达广场福清清昌店1F层,"119.350152,25.715987",18695721186,福建省,福州市,福清市
季屿SALON,石竹街道棋山村新厝83-1,"119.321081,25.706348",17621107914;18850429086,福建省,福州市,福清市
豪盟聖妃美容美发连锁,玉屏街道一拂街与深巷交叉口东南角富豪花园35号楼2层,"119.381001,25.718451",[],福建省,福州市,福清市
D·R+造型(宏路店),宏路街道福平街南宅348号,"119.322606,25.702257",13110870375,福建省,福州市,福清市
圣妃美容美发连锁(融侨城店),融侨城272层阿龙,"119.350570,25.711027",0591-85220987,福建省,福州市,福清市
林敏美发店(境洋店),境洋镇境洋街道镜洋街84号,"119.295269,25.769071",13696848304,福建省,福州市,福清市
深藏Blue私人定制美容美发,龙田镇龙飞路1-21号,"119.448662,25.610813",18873433352,福建省,福州市,福清市
福清优美姿接发(融侨悦府南门店),音西街道融侨悦府南门8号楼9-83沿街门店(福清优美姿接发工厂店),"119.355017,25.720590",15859085658,福建省,福州市,福清市
am发型定制,一拂街与锦云街交叉口西南40米,"119.380339,25.718310",17850875515,福建省,福州市,福清市
拾一美发,音西街道康达路国际华城4幢2楼,"119.348401,25.716045",18650775563,福建省,福州市,福清市
叁拾玖度半烫染吧(清航街总店),音西街道清航街75号,"119.374190,25.726451",13950744559;13960744559,福建省,福州市,福清市
俤俤发艺(江滨花园店),水南江滨花园287号第一座,"119.379907,25.710028",13950258803,福建省,福州市,福清市
情人岛形象设计(清荣大道店),福清人民体育场东北2门旁,"119.386555,25.724613",15359115525,福建省,福州市,福清市
匠人发型定制(明梅楼店),向高街道人巷48-8号,"119.381225,25.721522",0591-85876722;13950227237,福建省,福州市,福清市
三姐美容美发(万嘉广场店),万嘉广场6号楼5层06-13,"119.350029,25.712662",0591-86555995,福建省,福州市,福清市
V1唯一颜值美丽定制(侨荣城店),清昌大道107-159号,"119.348832,25.714299",[],福建省,福州市,福清市
领先美业(富贵世家1期店),音西清盛大道富贵世家1期(恒丰银行楼上)9-7号3楼,"119.361675,25.712175",13950339889,福建省,福州市,福清市
壹家烫染·美发沙龙(璀璨天元店),音西清昌大道31西北方向120米璀璨天元,"119.358398,25.720338",15060141454,福建省,福州市,福清市
V美·美发沙龙(金街店),音西康达路36-111号,"119.349575,25.718325",17859546979,福建省,福州市,福清市
圣妃国际美容美发连锁(锦绣店),音西街道锦绣家园南区10号楼福28号,"119.364826,25.716867",0591-85340333,福建省,福州市,福清市
雲尚造型烫发染发,新市街203-86,"119.460908,25.609030",[],福建省,福州市,福清市
圣妃国际美容美发连锁(国际公馆店),音西街道阳光锦城3号楼1号,"119.367841,25.717081",0591-85156633,福建省,福州市,福清市
KONI美发沙龙(中联城四、五期店),宏路街道上郑村中联城四五期20号楼108-109店面,"119.336946,25.702919",15060696185,福建省,福州市,福清市
Nk造型美发工作室(万嘉广场店),音西街道清昌大道万嘉广场5号楼5楼,"119.350734,25.713077",18105917627,福建省,福州市,福清市
美丽一生形象设计(卓越路店),卓越路1号2层,"119.368624,25.721591",0591-85397779,福建省,福州市,福清市
圣妃美容美发(福清福和万达店),福和路9号万达广场福清福和店F3层,"119.351925,25.721675",13685048365,福建省,福州市,福清市
壹号造型·沙龙(渔市街店),玉屏街道一拂路6号楼2层,"119.381004,25.718439",15659555665,福建省,福州市,福清市
圣妃国际美容美发连锁(万达B2区店),音西街道康达路36-186福清万达广场B2区,"119.348903,25.716497",15659555665,福建省,福州市,福清市
范先生男士理发馆,康达路5号100,"119.345799,25.717066",18350039332,福建省,福州市,福清市
流星发艺(福州福清市),渔溪镇育才路好又多酒楼对面,"119.300375,25.601525",13635222625,福建省,福州市,福清市
小香港形象设计总店(龙安街店),龙田镇龙辉街85-241,"119.460946,25.609614",0591-85776723;18150060871,福建省,福州市,福清市
Mr.高(万达广场店),[],"119.346160,25.715170",13055525506,福建省,福州市,福清市
微星造型(宏路店),善胡街226-1号,"119.317465,25.706662",18606067855,福建省,福州市,福清市
尚艺烫染会所,清昌大道与善福街交叉口西180米,"119.317158,25.702943",13850197891,福建省,福州市,福清市
奥斯卡造型(融侨锦江玖里店),融侨锦江二期2号楼109号,"119.333556,25.702743",13960781213,福建省,福州市,福清市
蚂蚁美发(362店),天河酒店路口往里50米河头巷9-7号,"119.380214,25.717256",18850449598,福建省,福州市,福清市
拾光美发店,宏路石竹街道棋山街158号158-1158-2,"119.320176,25.707886",13625072007,福建省,福州市,福清市
世爵美容美发(宏路),石竹街道西环路187号,"119.317608,25.706003",0591-85369181,福建省,福州市,福清市
千叶造型(福清店),龙山街道鸿商路6号富丽华花园3号楼4号店面,"119.386133,25.716739",13960710520;15880083428,福建省,福州市,福清市
佧施心艺美容美发(融侨城东区店),音西镇康达路融侨城23栋05店,"119.350471,25.712466",13635231756,福建省,福州市,福清市
感剪国际美业(融侨观邸店),清昌大道279-46号,"119.341825,25.711175",15060699998;18659139808,福建省,福州市,福清市
品位造型(成龙步行街店),成龙步行街1号楼停车场出口旁,"119.379659,25.721177",15280188887,福建省,福州市,福清市
YM hair salon(国际华城店),康达路5-71国际华城,"119.346242,25.715550",[],福建省,福州市,福清市
DW美容美发(万嘉广场店),音西街道清昌大道万嘉广场5号楼201室,"119.351101,25.713005",0591-86559655,福建省,福州市,福清市
蚂蚁美发527店,融侨城30号楼2-101,"119.351706,25.710127",13067390660,福建省,福州市,福清市
SO剪发城(五井街店),中心街与朱平路交叉口东南220米,"119.519436,25.528413",13860644505;15960043299,福建省,福州市,福清市
发记hairsalon(善福街店),石竹街道西环路建融商业街2号楼一层,"119.317700,25.706960",15860809958,福建省,福州市,福清市
阿松造型(向高街店),玉屏街道向高街明翔楼103号店,"119.381581,25.721119",[],福建省,福州市,福清市
美丽印象烫染品质店(清航街店),清航街66号,"119.376172,25.725987",[],福建省,福州市,福清市
梦想发型设计(宏兴街店),宏兴街与福平街交叉口西40米,"119.321196,25.705166",15959079822,福建省,福州市,福清市
艺剪美(通福花园北),清昌大道诚丰世纪园4号楼109店面,"119.358112,25.717351",13599952659;18350127168,福建省,福州市,福清市
卓艺形象设计(玉屏街道),较场路与后埔街交叉口西北60米,"119.382729,25.721019",0591-28399133;13809525258,福建省,福州市,福清市
顶尚造型(宏路店),宏路镇石竹街道龙塘村清宏路35-6号,"119.324939,25.712035",13055377795;13055737795,福建省,福州市,福清市
首秀(福州福清市),龙田镇龙达路千家电器往福清车站方向50米旺客隆超市旁,"119.458788,25.609775",13163888646,福建省,福州市,福清市
约定,宏路街道融侨锦江2-25号,"119.332933,25.703013",15555593994,福建省,福州市,福清市
LC美业(渔溪店),渔溪镇草厝育才路196号LC美业,"119.300272,25.601402",15605081886,福建省,福州市,福清市
八佰伴形象设计,龙田镇龙飞路39号,"119.457463,25.608081",13107690388,福建省,福州市,福清市
810潮牌美发机构,金鹰汉庭大酒店门口,"119.365925,25.719675",13159239040,福建省,福州市,福清市
慕尚造型(西环东路店),西环东路与东桥路交叉口东北80米,"119.352356,25.710221",15396118086,福建省,福州市,福清市
艺剪吧时尚造型,阳下镇坝头村25-3,"119.428385,25.768239",15985716669,福建省,福州市,福清市
蚂蚁美发(413店),冠业居民小区西北门旁,"119.377987,25.721555",15280188887,福建省,福州市,福清市
发苑形象设计(万达店),音西街道国际华城13号楼店面,"119.347677,25.717681",[],福建省,福州市,福清市
女神造型(融侨城东区店),融侨城25栋一层02店面,"119.350197,25.711909",0591-85880903,福建省,福州市,福清市
环球造型(善福街店),棋山村外厝199-1号,"119.317225,25.707426",13859009570,福建省,福州市,福清市
ONE+造型(宏路店),善福街西环路尚里83-3成龙大酒店周六福对面上二楼,"119.318526,25.703274",18645343951,福建省,福州市,福清市
1FAnFS美容美发,康达路2-35号,"119.350175,25.712675",[],福建省,福州市,福清市
多门男士理发馆(万达广场店),清昌大道105号福清万达广场A1座2F层,"119.350616,25.714628",17188886887,福建省,福州市,福清市
一帆美发(融侨城西区店),融侨城18栋01号店面(康达路1-15号),"119.350400,25.710346",18250300538,福建省,福州市,福清市
尚品美发美甲(玉屏街道),龙江市场监督管理所东北门旁,"119.387326,25.720534",[],福建省,福州市,福清市
阿伟美发工作室私人订制,高山镇中街12号阿伟美发工作室3楼,"119.563186,25.468477",13275913275,福建省,福州市,福清市
4AM形象设计,阳下溪头村323-3号,"119.413871,25.769396",17605013534,福建省,福州市,福清市
尚美造型(尚理新兴苑店),尚理新兴苑,"119.318035,25.703898",15980165011;18850118657,福建省,福州市,福清市
佳佳造型室(二中店),豪豪小区2号楼1层店面,"119.384251,25.723582",13960867693;15080078438,福建省,福州市,福清市
QQ时代形象沙龙,渔溪镇星华街86号,"119.296497,25.597115",13459457670,福建省,福州市,福清市
PCL金善(融侨城东区店),音西街道融侨城2期25栋1楼20号,"119.350293,25.711716",13599976678,福建省,福州市,福清市
潮发染吧(融创滨江壹号店),融创滨江1号8幢102店铺,"119.359108,25.715516",13960974153,福建省,福州市,福清市
斯朵利发型侨荣店,国际华城B2-108室,"119.346147,25.715208",13655030623,福建省,福州市,福清市
空间造型(融侨城店),融侨城东区25号楼08号,"119.350388,25.711729",0591-85159755;13665006213,福建省,福州市,福清市
亚琪染烫吧,向高街与较场路交叉口东20米,"119.381377,25.721496",[],福建省,福州市,福清市
楚匠美业形象沙龙(福华小区店),桥南路福华小区,"119.378389,25.709516",17706922289,福建省,福州市,福清市
蚂蚁美发 462(卓越观天下3期店),瑞亭街19-20号,"119.395051,25.718945",[],福建省,福州市,福清市
范美特造型接发(福清店),成龙步行街8号楼,"119.379601,25.720434",18559117629,福建省,福州市,福清市
斯芒连锁护理玫瑰园店,玫瑰园西北门西南110米,"119.396761,25.732761",[],福建省,福州市,福清市
蚂蚁美发(福清锦绣家园北区店),锦绣家园北区西南门东南50米,"119.363586,25.716985",[],福建省,福州市,福清市
米娜造型(福清恒大城店),恒大城1期3号楼,"119.407752,25.717971",[],福建省,福州市,福清市
忠和美发(洋埔公寓1期店),洋埔公寓1期,"119.341587,25.720801",13509344770,福建省,福州市,福清市
简尚造型(西环西路店),宏路村尚里161-1二楼紫金益民楼上,"119.318120,25.702788",[],福建省,福州市,福清市
66发艺,玉井路乐居家装对面,"119.387162,25.728339",15980577397;18250458533,福建省,福州市,福清市
欧森漫美发(三福龙景店),三福龙景11号楼11店面,"119.412749,25.724660",[],福建省,福州市,福清市
宏爵理发馆,宏路镇后铁铺610-1,"119.319670,25.700296",[],福建省,福州市,福清市
V1私人订制,音西清昌大道31西北方向120米璀璨天元,"119.358315,25.718906",[],福建省,福州市,福清市
爱简发快剪(融侨城店),音西街道康达路2-32号,"119.350008,25.712314",13713463598,福建省,福州市,福清市
奈丝美容美发(龙旺名城南区店),龙旺名城-南区1号门东北70米,"119.367247,25.717644",[],福建省,福州市,福清市
小杨快剪(冠业居民小区店),玉屏产塘街25号8号,"119.378559,25.721036",[],福建省,福州市,福清市
中锦美容美发,音西清昌大道107-57号二层,"119.345583,25.714281",13696833631,福建省,福州市,福清市
10元快剪(锦绣豪庭店),旧法院后门对面马路,"119.390080,25.723383",19187553445;19235909056,福建省,福州市,福清市
简爱染烫吧(北前亭店),后塘巷16-3,"119.330076,25.724207",13110873110;17605009970,福建省,福州市,福清市
发仕名匠(城头店),177县道与大四路交叉口西南80米,"119.519997,25.701051",15060169322,福建省,福州市,福清市
湘婷美业(国税家苑店),清昌大道35号国税家苑,"119.356071,25.716288",13276046721;19235916915,福建省,福州市,福清市
发新设(后山顶店),东门后山顶义乌小商品超市旁,"119.386961,25.716420",13290932306,福建省,福州市,福清市
你好漂亮发型工作室,178县道新林南路公交站旁(白墓十字路口往福清方向),"119.483670,25.552354",15959076039,福建省,福州市,福清市
O-HAIR凹造型,龙田镇金山街204-9,"119.461756,25.607516",18559991112,福建省,福州市,福清市
LC这是一家理发店,安置区LC理发店,"119.324772,25.464213",19074530774,福建省,福州市,福清市
悟空快剪,东门街与拱北路交叉口东北20米,"119.391024,25.726645",[],福建省,福州市,福清市
月月美甲,海口镇新山路2-17号,"119.459496,25.696682",13859012669,福建省,福州市,福清市
首艺造型(海城路店),201省道冠乐福便利店对面,"119.571071,25.692015",0591-85580083;15359192063,福建省,福州市,福清市
厚木发型社,凯景悦蓝山二期北门旁,"119.401071,25.734537",18210320978,福建省,福州市,福清市
名剪造型,后埔街27-11号,"119.386893,25.724816",13045871779,福建省,福州市,福清市
爱U剪(中联·天玺店),中联天玺1号118店面,"119.353998,25.720439",13101487888,福建省,福州市,福清市
禾木造型Salon(利桥古街店),利桥街303号东百利桥古街第B1F层B1-b1022店铺,"119.381213,25.716018",19859921840,福建省,福州市,福清市
第六感形象设计会所(渔溪店),渔溪镇育才路138号,"119.300020,25.600301",18506025799,福建省,福州市,福清市
千丝造型,清荣大道与福唐路交叉口西100米,"119.365909,25.729351",18960996790,福建省,福州市,福清市
V8造型,康达路1-26号,"119.350607,25.709877",15980520088,福建省,福州市,福清市
明星美业,融侨城康达路2-14号,"119.350391,25.711484",13305915713,福建省,福州市,福清市
康林理发店,双墩路与八一五路交叉口西100米,"119.294835,25.601326",13067272905,福建省,福州市,福清市
V1唯一美发潮店(万嘉广场店),万达对面万嘉广场6号楼5楼(全季酒店楼上),"119.349900,25.712876",18650377717,福建省,福州市,福清市
阿曼妮专业烫染,六一路78-53,"119.563009,25.473232",0591-85888782,福建省,福州市,福清市
爱尚你美容美发(福清港头店),港头镇五星村东南116号,"119.486247,25.553470",15005097779;18359777795;18705903654,福建省,福州市,福清市
喜理美发沙龙(中联·天玺店),福百路6-96号,"119.354513,25.722007",13400594000,福建省,福州市,福清市
艺典造型,清航街85号,"119.374024,25.726493",13599389394,福建省,福州市,福清市
阿龙专业烫染,洪宽大道与洪宽三路交叉口东北320米,"119.428588,25.768781",18350150687,福建省,福州市,福清市
阿霖理发,融北路23号,"119.386970,25.725488",13609514232,福建省,福州市,福清市
壹间理发店,东方印象12井-08店面壹间理发店,"119.398033,25.713020",18559126909,福建省,福州市,福清市
你好漂亮造型沙龙,龙田镇上薛村岭头顶49-1号,"119.454720,25.625930",18259040904,福建省,福州市,福清市
芬格造型,音西清昌大道6-33,"119.366965,25.716873",13859006162,福建省,福州市,福清市
尚艺造型(江滨路店),江滨路南方宾馆边上,"119.381072,25.716620",18759110015,福建省,福州市,福清市
鼎尚沙龙(泰禾华侨城1期店),龙田镇福庐北路31-34号,"119.449941,25.611916",18259036456,福建省,福州市,福清市
Likc爱简发快剪(福和万达店),福和万达B1层B157(国美电器旁),"119.351925,25.721075",13713463598,福建省,福州市,福清市
酷拉拉(加州城店),音西街道加州城9号楼1-3室,"119.368555,25.720726",0591-83257390;0591-85257390,福建省,福州市,福清市
时尚元素发型设计(尚理新兴苑店),宏兴街香玉食杂店旁,"119.317935,25.703868",13459178750,福建省,福州市,福清市
阿玛尼美容美发(外环路店),江阴镇外环路62号,"119.317192,25.454456",18250167023,福建省,福州市,福清市
ZAIJ在家·美发(三福龙景店),三福龙景北门13号楼01店,"119.411731,25.724912",17841141845,福建省,福州市,福清市
名流造型屋,高山镇高园路17号街道南6-7号店面,"119.564675,25.473025",15080082688,福建省,福州市,福清市
玩美style美发香溪美地(加州·香溪美地A区店),奎岭香溪美地二期二号楼D8,"119.375481,25.733861",15060177702,福建省,福州市,福清市
A+·造型(融侨悦府店),融侨悦府9-77店面A•造型,"119.355185,25.720646",15606077010,福建省,福州市,福清市
福平街晖尚造型,福平街与棋山街交叉口南140米,"119.321012,25.706640",15959163107,福建省,福州市,福清市
舒罗兰美发店(玫瑰园店),玉屏街道东门街石井村塘边第一排第一座店面,"119.396186,25.732558",15280189753;17306909877,福建省,福州市,福清市
启点造型(福平街店),福平街与宏兴街交叉口北140米,"119.321323,25.706335",15005989484,福建省,福州市,福清市
city城市快剪店(佳源超市),佳源超市门店第三柜,"119.380894,25.718248",15005027855,福建省,福州市,福清市
名将造型(渔溪店),渔溪镇隆华路220号,"119.301209,25.600860",18606998986,福建省,福州市,福清市
剪艺造型(水岸观溪店),宏路街道水岸观溪2号楼商业3号店面,"119.349974,25.697779",15985780809,福建省,福州市,福清市
友金理发店,宏路新街10号,"119.317557,25.697174",[],福建省,福州市,福清市
阿曼达烫染品质店(洋洋百货店),洋洋百货德克士楼下,"119.316573,25.702419",18259134293,福建省,福州市,福清市
文强造型沙龙(尚理新兴苑店),西环路107号,"119.317901,25.702996",0591-85366579,福建省,福州市,福清市
芭本SO理发馆,龙田镇泰禾华侨城2期31-18店铺,"119.450896,25.612895",18649891778,福建省,福州市,福清市
流行密码美发沙龙(龙江路店),龙江街道龙江路487-3号,"119.382117,25.704154",13599951579,福建省,福州市,福清市
咔嚓咔嚓发型社,178县道与瀚莲路交叉口西北300米,"119.609180,25.430597",15980629994,福建省,福州市,福清市
蚂蚁美发(中庚432店),中庚香汇融商业街SY13-12,"119.369059,25.752934",13023806627,福建省,福州市,福清市
MSMK.美时美刻私人订制(龙田店),龙田镇龙锦路116-7号,"119.455192,25.610548",15005927720,福建省,福州市,福清市
一剪钟情理发店,新厝镇坂顶街一剪钟情理发店,"119.255316,25.509683",13696826218,福建省,福州市,福清市
小贝烫染造型工作室(景观豪庭南区店),景观豪庭南区东北门旁,"119.363704,25.716066",13950393020,福建省,福州市,福清市
新宿造型(优步书苑店),龙山街道优步书苑2号107,"119.398907,25.712558",18760449346,福建省,福州市,福清市
亚当美业,宏路镇高仑村委旁,"119.329570,25.713026",18759199881,福建省,福州市,福清市
唯美形象设计室(盈丰花园A区店),"阳下街道骏和小区盈丰花园A区,福阳路1-11","119.383227,25.739095",18396177771,福建省,福州市,福清市
渔溪快剪,隆华路南151号,"119.299025,25.600925",18060711536,福建省,福州市,福清市
理享造型(侨乡特区店),高山镇侨乡特区曹厝211-12号,"119.561445,25.475806",17606077797,福建省,福州市,福清市
微潮形象设计,龙塘村清宏路福政路交叉路口,"119.324480,25.712420",17746099061,福建省,福州市,福清市
沙宣美容美发(清盛大道店),上郑村中联城一期12号楼119店面,"119.337639,25.702332",18900266931,福建省,福州市,福清市
HE潮牌造型三山店,三山镇三山村384号,"119.521007,25.528538",15959125985,福建省,福州市,福清市
岸恋造型(美发),城头镇新街211-1,"119.515548,25.701992",18120841964,福建省,福州市,福清市
V造型沙龙(龙旺名城南区店),音西清昌大道6-117,"119.366350,25.717414",13950266111,福建省,福州市,福清市
丽人吉岩融创滨江壹号店,清昌大道融创滨江3-03店铺105,"119.359959,25.716553",15396000023;15859042654,福建省,福州市,福清市
阿辉形象沙龙,江明街与泰山路交叉口北160米,"119.429140,25.556398",18150789991,福建省,福州市,福清市
MJ造型私享工作室(较场路店),玉屏街道较场路2号楼第14间门牌1-202,"119.382100,25.724635",13960793036,福建省,福州市,福清市
彪师艺剪,清宏路日东包装对面彪师艺剪,"119.342924,25.716498",0591-85167157;13395919531,福建省,福州市,福清市
雅琪美发(卓越观天下店),卓越观天下1期南门旁,"119.394337,25.717620",0591-85166767,福建省,福州市,福清市
纵横造型造型,西环小区乐易购超市旁,"119.330956,25.725899",13599967410,福建省,福州市,福清市
放心飞染烫吧,上郑村平安医院,"119.332031,25.707667",15880414861,福建省,福州市,福清市
风采发型设计中心(融鑫花园店),龙山花园西南门西北140米,"119.391323,25.723154",13705931205,福建省,福州市,福清市
尚艺沙龙,龙福路与龙发路交叉口北20米,"119.462015,25.603755",15860402459,福建省,福州市,福清市
瑞美美发,龙江街道霞楼龙江路,"119.388691,25.693835",13385912175,福建省,福州市,福清市
中青年理发店,江阴镇寻头村外环路3号,"119.318663,25.452041",15980507521,福建省,福州市,福清市
慕鑫美发店,玉屏街道后埔街18-5慕鑫美发店,"119.384557,25.722664",15059425855,福建省,福州市,福清市
阿峰美发工作室,龙田镇龙锦路146-1,"119.454629,25.609569",15860259629,福建省,福州市,福清市
阿娟理发店,天宝路158号壹品江山,"119.357507,25.703869",13696805017;18850708829,福建省,福州市,福清市
时尚剪艺,高山镇高园路16-2,"119.564342,25.472837",18120947757,福建省,福州市,福清市
新海发型,高山镇下街33号,"119.562760,25.468782",13799994791;15860258887,福建省,福州市,福清市
新潮美容美发中心(小桥街店),小桥街何厝巷44号,"119.382014,25.717934",0591-85216953,福建省,福州市,福清市
博雅美发室(清荣花园店),清荣花园508号,"119.393615,25.730265",13960869779,福建省,福州市,福清市
ASM形匠造型(成龙步行街店),锦云街与一拂街交叉口西北60米,"119.380238,25.718706",15080081291,福建省,福州市,福清市
非常男女时尚造型,下街与六一路交叉口东南120米,"119.561373,25.469482",13859011700,福建省,福州市,福清市
顺艺美发,宏路街道宏路村桥下137号,"119.320615,25.697875",13959176935,福建省,福州市,福清市
第六感美发,后埔街与一拂街交叉口西60米,"119.382125,25.719775",13705987332,福建省,福州市,福清市
名古屋专业烫染吧,小桥街116-2号附近,"119.383428,25.718707",13605958597,福建省,福州市,福清市
阿名染烫城(小北小区店),融城龙山综合楼3号楼第7间,"119.390479,25.725862",0591-85221220,福建省,福州市,福清市
艺度造型(中庚紫金香山店),中庚紫金香山13号,"119.337200,25.708050",13799994987,福建省,福州市,福清市
帅薇美容美发头疗店,福百路9-83号,"119.355400,25.720660",17375037806,福建省,福州市,福清市
唯妳形象管理,龙田镇三村新市街3号楼212号,"119.460312,25.607626",13489069857,福建省,福州市,福清市
千艺造型,镜洋镇镜洋街32号,"119.295535,25.769666",15985716027,福建省,福州市,福清市
九隆发型中心,龙江市场监督管理所东北门旁,"119.386708,25.720636",13055414173,福建省,福州市,福清市
阿伟形象设计(加州城店),加州城9号楼彩票店斜对面,"119.367839,25.720328",13599093712;15960081813,福建省,福州市,福清市
云创梳剪轩理发店,清荣大道31-1号,"119.391012,25.722741",15980731648,福建省,福州市,福清市
欣语发型,清航街与融西路交叉口西北40米,"119.376824,25.725834",15396116240,福建省,福州市,福清市
新坊造型烫染店,清航街与融西路交叉口西40米,"119.376723,25.725655",13072559237,福建省,福州市,福清市
剪单美发,龙安街与金山街交叉口东南100米,"119.462700,25.607128",13003834706,福建省,福州市,福清市
兵哥专业男式理发,三山镇兵哥专业男式理发,"119.522210,25.526257",18060734142,福建省,福州市,福清市
Timi美发(闽江职校学生公寓店),福通路4-4号,"119.330146,25.726305",[],福建省,福州市,福清市
创意美发(祥云楼店),玉屏街道深巷祥云楼小桥街31-10,"119.382186,25.717480",13696802889,福建省,福州市,福清市
圣安庭专业美发(尚理新兴苑店),尚理新兴苑,"119.318409,25.703734",0591-85377569,福建省,福州市,福清市
雪柔美发设计(小北小区店),小北小区东北门旁,"119.390320,25.725312",13605953981,福建省,福州市,福清市
乡亲理发店,福泰路与清航街交叉口南100米,"119.374989,25.725261",15960083332,福建省,福州市,福清市
日兴理发,西门街与察院埔交叉口西80米,"119.376839,25.719118",15985713115,福建省,福州市,福清市
怡心缘发型设计室,中街与金辉路交叉口西北100米,"119.562216,25.469198",13055555837,福建省,福州市,福清市
漂亮美啦,东张镇清荣路南17号,"119.247219,25.710377",19959134222,福建省,福州市,福清市
鑫·银色,江阴镇下石村233-20,"119.302348,25.429867",15036150622,福建省,福州市,福清市
兰美造型,康达路与清展街交叉口北100米,"119.347680,25.722520",[],福建省,福州市,福清市
云辉美发工作室,钓鱼台幼儿园西南门旁,"119.460876,25.610079",[],福建省,福州市,福清市
丝齐美造型设计,河头巷与江滨路交叉口北80米,"119.380145,25.717081",13859022528,福建省,福州市,福清市
v秀造型,小桥街53号西北50米,"119.384384,25.719572",[],福建省,福州市,福清市
老乡美发形象设计,宏路镇右竹街道福平街点点培训中心楼下,"119.321289,25.706368",13960793009;17708370496,福建省,福州市,福清市
千姿造型,清繁大道(京东方西南侧约91米),"119.359973,25.756043",[],福建省,福州市,福清市
千艺造型,美嘉城西北门旁,"119.324503,25.704517",13275013531,福建省,福州市,福清市
君子兰美发店,东南大道与龙江路交叉口西南220米,"119.401469,25.687335",[],福建省,福州市,福清市
AF奥斯卡造型,福平街与清昌大道交叉口北60米,"119.321954,25.704472",[],福建省,福州市,福清市
阿香理发店,宏路街道大埔村250,"119.324943,25.690979",[],福建省,福州市,福清市
YOAN佑安专业美发沙龙(龙田店),龙田镇龙飞路198-1,"119.453370,25.608577",18305909268,福建省,福州市,福清市
非凡造型,清繁大道(京东方西南侧约60米),"119.360540,25.756387",[],福建省,福州市,福清市
千艺造型(隆华路),隆华路331-333号附近,"119.295826,25.601025",[],福建省,福州市,福清市
精艺理发店,棋山街与福平街交叉口东120米,"119.321811,25.707825",[],福建省,福州市,福清市
匠心美发,龙江路与融宽环路辅路交叉口西北200米,"119.389186,25.693354",15980556345,福建省,福州市,福清市
Likc爱简发快剪店(利嘉佳源店),音西街道清昌大道56号利嘉中心一楼入口处,"119.352398,25.713100",[],福建省,福州市,福清市
发艺轩染烫吧(棋山街店),宏路镇清岚街乐旺佳超市旁边,"119.321423,25.708026",[],福建省,福州市,福清市
明云美发店,福厦大道与上杭北路交叉口南220米,"119.314302,25.718270",13720811665,福建省,福州市,福清市
千瑾造型(泰禾店),泰禾华侨城1期东南门东60米,"119.449631,25.611340",13459177523,福建省,福州市,福清市
福清市宏路下曹街专业烫染,圳边村下曹街25-3,"119.312568,25.666533",15005983009,福建省,福州市,福清市
佳美美容美发店,龙田镇积库村渔池71-72号,"119.427321,25.605827",15880192525,福建省,福州市,福清市
简约造型(天翔·凯旋城店),天翔·凯旋城东门旁,"119.316515,25.709183",[],福建省,福州市,福清市
万里美发店,上杭北路与宏路交叉口东60米,"119.314575,25.720493",[],福建省,福州市,福清市
阿亮理发(金辉城市广场店),清昌大道269号金辉城市广场,"119.343037,25.711874",15394556179,福建省,福州市,福清市
阿文理发店,宏路街道永惠超市后门,"119.320205,25.704117",[],福建省,福州市,福清市
飞剪造型·美容美发中心,"音西街道音西村,马山村香匯融江B区27号楼03商业","119.368021,25.754651",[],福建省,福州市,福清市
十元快剪(锦绣豪庭店),东门街北段68号锦绣豪庭,"119.390625,25.725588",[],福建省,福州市,福清市
文林美发,众清平大道(玉瑶小学西南侧约50米),"119.404603,25.604912",[],福建省,福州市,福清市
阿标美发造型店,福山路与桥南路交叉口东南160米,"119.378970,25.712226",[],福建省,福州市,福清市
常美理发店,北溪路与高园东路交叉口西南180米,"119.565357,25.470971",13285982207,福建省,福州市,福清市
艺境美业,新华街与中心街交叉口东60米,"119.297565,25.597333",[],福建省,福州市,福清市
完美造型(瑞亭街店),卓越观天下2期西门旁,"119.393486,25.716612",[],福建省,福州市,福清市
派头男士理发馆,龙田镇中联蓝天国际168-27,"119.463175,25.615775",[],福建省,福州市,福清市
理容威尔国潮男士理发馆(中联城店),中联城一期,"119.338197,25.702856",[],福建省,福州市,福清市
男士理发,中心街与新华街交叉口南40米,"119.297001,25.596839",[],福建省,福州市,福清市
大咖男士理发馆,福平街与清昌大道交叉口南120米,"119.322407,25.702798",[],福建省,福州市,福清市
精喜男士理发馆(融创滨江壹号店),融创江滨1号15号楼18店铺,"119.360225,25.714625",13950979748,福建省,福州市,福清市
一剪缘理发店(新华街店),新华街与育才路交叉口西100米,"119.298975,25.597125",18960968974,福建省,福州市,福清市
名匠发型会所,江阴镇南曹村,"119.300308,25.460028",[],福建省,福州市,福清市
首艺造型(福耀智汇苑店),石竹福政路3-1号1207号商铺,"119.320807,25.718986",[],福建省,福州市,福清市
壹加快剪(万达广场福清福和店),福和路9号万达广场福清福和店B1层,"119.351925,25.720425",[],福建省,福州市,福清市
理享美发工作室(盘昇新港花园店),盘升新港花园5A09号,"119.258431,25.504843",17637478141,福建省,福州市,福清市
MOCCI慕紫·烫发·染发(精美店),郑和中路189号,"119.509385,25.958037",15705976373,福建省,福州市,长乐区
