名称,地址,经纬度,电话,省份,城市,区县,来源城市
赫莎造型美发美甲美睫Hair salon,九0四综合楼五号商服,"126.309208,45.376593",18104507733,黑龙江省,哈尔滨市,双城区,哈尔滨市
艺凡美发店,利民小区西南门旁,"126.299317,45.388454",13101501301,黑龙江省,哈尔滨市,双城区,哈尔滨市
梅美鑫美发(世纪现代城店),北三道街世纪现代城11号楼30门市,"126.315189,45.370607",13633688720,黑龙江省,哈尔滨市,双城区,哈尔滨市
娜美发艺,迎宾路140号附近,"126.300715,45.382703",18346580369;18724498498,黑龙江省,哈尔滨市,双城区,哈尔滨市
匠心独运美发,凤凰城西南门东南60米,"126.302032,45.385653",15945151123,黑龙江省,哈尔滨市,双城区,哈尔滨市
尚格发型设计,兴旺路与新兴路交叉口东南40米,"126.314809,45.382079",15846367990,黑龙江省,哈尔滨市,双城区,哈尔滨市
理享造型,丽景家园,"126.319705,45.387892",18145582453,黑龙江省,哈尔滨市,双城区,哈尔滨市
美述美发沙龙(民乐D区店),承旭路与新兴路交叉口南220米,"126.320028,45.382063",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
红榜美发(名门盛景店),名门盛景南门旁,"126.310536,45.367634",18345769093,黑龙江省,哈尔滨市,双城区,哈尔滨市
文果美发店,车站街龙门大厦A栋23号,"126.295478,45.395851",15561592577,黑龙江省,哈尔滨市,双城区,哈尔滨市
缘梦美发,育才路,"126.665984,45.460942",18246415977,黑龙江省,哈尔滨市,双城区,哈尔滨市
森梵美业,和平大街50号,"126.315982,45.363616",18746198182,黑龙江省,哈尔滨市,双城区,哈尔滨市
昕黛美发店,双城区老年大学西南门旁,"126.316809,45.363071",15045848289,黑龙江省,哈尔滨市,双城区,哈尔滨市
果海剪业(鑫马电业家园店),鑫马电业家园西2门旁,"126.321054,45.372377",15245708060,黑龙江省,哈尔滨市,双城区,哈尔滨市
选择时尚形象设计,花园大街211号,"126.312047,45.370763",13089983669,黑龙江省,哈尔滨市,双城区,哈尔滨市
梦都美发,双城镇东街云城楼,"126.327481,45.370254",13136659194,黑龙江省,哈尔滨市,双城区,哈尔滨市
夏茉美发,东街云城家属楼15号门市,"126.327011,45.370026",15244739831,黑龙江省,哈尔滨市,双城区,哈尔滨市
梵画美业,钻机厂综合楼1层10号,"126.310334,45.373600",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
明霞美发专业染烫(北环城东路店),双城镇北门双大对面建委5号楼,"126.311561,45.377262",18846928751,黑龙江省,哈尔滨市,双城区,哈尔滨市
丝念美发沙龙(新城区转盘道税务局住宅综合楼店),转盘道东走100米到南丝念美发,"126.305016,45.384250",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
钰都理发(世纪现代城店),世纪现代城东北2门旁,"126.316124,45.370935",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
坤坤发艺(承旭小区店),运输胡同与工农街交叉口东南20米,"126.327508,45.369242",13945656064,黑龙江省,哈尔滨市,双城区,哈尔滨市
红日美发(团结大街),双城区人民医院胡同与光彩路交叉口正南方向65m左右,"126.318675,45.364225",15244731900,黑龙江省,哈尔滨市,双城区,哈尔滨市
蒙蒙美发店,景观名苑东南门旁,"126.316859,45.371245",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
标榜美发店,奋斗街电业局3号楼1层28号商服,"126.307038,45.380176",18249750521,黑龙江省,哈尔滨市,双城区,哈尔滨市
爱业美发店,交通街与健康路交叉口西60米,"126.312354,45.365066",15045845416,黑龙江省,哈尔滨市,双城区,哈尔滨市
美之雅美容美发,恒盛新天地东南1门旁,"126.305388,45.375282",15244629677,黑龙江省,哈尔滨市,双城区,哈尔滨市
靓点美发,金园一品东门北130米,"126.318615,45.375762",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
悦桐造型(东南阳光二区店),东南阳光二区西北3门东50米,"126.320060,45.367079",15124677995,黑龙江省,哈尔滨市,双城区,哈尔滨市
飞扬烫染品质店,同仁医院东北门旁,"126.315745,45.363732",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
卓平理发店,外贸综合楼东南侧50米,"126.304013,45.383000",13614507302,黑龙江省,哈尔滨市,双城区,哈尔滨市
发道美发工作室(世纪现代城店),世纪现代城4栋,"126.314310,45.370188",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
华慕丝美发(景观名苑店),景观名苑多层1号楼5号商服,"126.316301,45.372349",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
雅芝美发,双城镇交通1号楼门市,"126.331307,45.370322",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
奇丝妙剪造型设计,东南阳光二区西北3门东60米,"126.320149,45.367103",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
首品美发店(发达路店),天富名苑西南门旁,"126.306151,45.391808",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
神美发艺,团结大街319号,"126.301246,45.362341",15245706864,黑龙江省,哈尔滨市,双城区,哈尔滨市
纤靓发之美(发达路店),发达路与腾达大街交叉口北140米,"126.309086,45.387151",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
阿龙造型,周家镇中国农业银行,"126.666519,45.460979",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
英樱美发,双城临江乡民强村,"125.985718,45.556315",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
青春美发工作室(鑫舜名人府店),鑫舜名人府西门北50米,"126.388784,45.542577",18246635707,黑龙江省,哈尔滨市,双城区,哈尔滨市
心尚造型,文昌大街与东环城北路交叉口西40米,"126.328714,45.370548",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
指绣美业,世纪现代城东门西南70米,"126.316720,45.369233",13204618882,黑龙江省,哈尔滨市,双城区,哈尔滨市
妙设美发店,财富名苑东南侧120米,"126.304789,45.384743",13604502384,黑龙江省,哈尔滨市,双城区,哈尔滨市
波源发艺店,兴旺路民宗局住宅小区42号,"126.315418,45.380455",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
韩佰理发店,财富名苑东南侧120米,"126.305055,45.384878",13263502212,黑龙江省,哈尔滨市,双城区,哈尔滨市
剪约剪烫染造型(钱江路店),钱江路与双益路交叉口西280米,"126.509316,45.512819",13936322403,黑龙江省,哈尔滨市,双城区,哈尔滨市
俊梅发艺(福瑞家园店),福瑞家园南区南门旁,"126.307852,45.389844",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
维美专业烫染,义乌路与裕民街交叉口北260米,"126.669313,45.461544",13845022236;15846121776,黑龙江省,哈尔滨市,双城区,哈尔滨市
花姐美发(生资小区店),生资小区西北门东70米,"126.310056,45.367083",17519524511,黑龙江省,哈尔滨市,双城区,哈尔滨市
木子美发工作室(民乐家园店),双城区中医医院北侧100米,"126.331028,45.383440",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
出人头地男士理发馆,文昌大街157号,"126.316638,45.371161",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
阿宏美发工作室(世纪现代城店),世纪现代城5号楼-13号门市,"126.316388,45.369149",15326627164;18249036676,黑龙江省,哈尔滨市,双城区,哈尔滨市
唯美造型,黑龙江工商学院(哈南校区)第八公寓2号门右手边,"126.611825,45.520475",18845571212,黑龙江省,哈尔滨市,双城区,哈尔滨市
MAKEhair做个头发,枫桥郡,"126.329275,45.381875",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
小彬造型工作室,水利小区,"126.325475,45.369475",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
日韩都市一族美发会馆(双城市龙华街环保局店),世纪现代城,"126.314558,45.368685",13351008529,黑龙江省,哈尔滨市,双城区,哈尔滨市
Mr.张男士理发馆,景观大道鸿源小区阳光宾馆附近,"126.314359,45.375863",13104606655,黑龙江省,哈尔滨市,双城区,哈尔滨市
领鑫时尚造型,龙升小区B座B栋一层10号商服,"126.310956,45.382972",15663657889,黑龙江省,哈尔滨市,双城区,哈尔滨市
旭婷美发,东旭美术西南门旁,"126.316780,45.363064",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
沐熙美业,钱江路与兴安路交叉口西80米,"126.516925,45.513925",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
辰艾美发店,新兴路与发达路交叉口西100米,"126.310952,45.381483",13384615530,黑龙江省,哈尔滨市,双城区,哈尔滨市
你型我塑(Y005店),艳秋副食品超市东侧,"125.963961,45.392961",18348515171,黑龙江省,哈尔滨市,双城区,哈尔滨市
十一美发美容,世纪现代城,"126.317027,45.369686",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
晓倩美业(双城区粮食局家属楼店),街道管委会南二道街信合银行东侧,"126.316606,45.366360",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
祖儿美发,丹妙小芳诊所有限公司内科诊所西侧,"126.301104,45.382839",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
米君美发,东南阳光二区西门西北60米,"126.318010,45.365985",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
大萌美甲工作室,伯爵公馆正门对面(枫桥郡25栋外-9商服),"126.329457,45.382071",18846426286,黑龙江省,哈尔滨市,双城区,哈尔滨市
爱美工作室(世纪现代城店),-北二道街世纪现代城5号楼负一层5号商服,"126.316147,45.369087",18345753605,黑龙江省,哈尔滨市,双城区,哈尔滨市
喜奈美甲工作室,恒盛新天地院里C2-29号,"126.302392,45.376902",13313618851,黑龙江省,哈尔滨市,双城区,哈尔滨市
娇颜美容美体工作室,新兴路2号,"126.318225,45.387775",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
琪玉美甲工作室,承旭路与腾达大街交叉口东200米,"126.318524,45.387808",15045842400,黑龙江省,哈尔滨市,双城区,哈尔滨市
陶悦美甲美睫工作室,永治街道畜牧局1号楼A栋1层西1号,"126.312902,45.377665",18103636481,黑龙江省,哈尔滨市,双城区,哈尔滨市
Mr.张男士理发馆,洗涤剂家属楼西侧140米,"126.305392,45.384347",[],黑龙江省,哈尔滨市,双城区,哈尔滨市
精艺求精专业美容美发沙龙(新疆大街店),新祥里街1号(新疆大街地铁站1号口步行150米),"126.630707,45.605731",0451-86516606;13904818189,黑龙江省,哈尔滨市,平房区,哈尔滨市
MEGA时尚潮男设计(红旗茂店),红旗茂商场负一层MEGA时尚潮男设计,"126.628467,45.605326",17614262003,黑龙江省,哈尔滨市,平房区,哈尔滨市
你好漂亮美发沙龙,建文街29号,"126.634632,45.601568",15046780766,黑龙江省,哈尔滨市,平房区,哈尔滨市
俊朗形象设计(绿色新城西区店),平盛街道建安头道街副2-3号,"126.659310,45.582945",18814516684,黑龙江省,哈尔滨市,平房区,哈尔滨市
名门润秀美发工作室,新祥里街15号(新疆大街地铁站1号口步行230米),"126.630305,45.606393",17390616905,黑龙江省,哈尔滨市,平房区,哈尔滨市
惟尚美业(秀水名苑一期店),哈南十五路04号,"126.645518,45.581888",18345072218,黑龙江省,哈尔滨市,平房区,哈尔滨市
金孔雀靓发会馆,东升街5-6号,"126.674233,45.590308",0451-87375098;13624601913;13936560900,黑龙江省,哈尔滨市,平房区,哈尔滨市
理念时代(No·001店),建文街95号,"126.626676,45.601182",13091886364,黑龙江省,哈尔滨市,平房区,哈尔滨市
朋克造型,新友街与新月街交叉口东南60米,"126.626868,45.605271",15546450939,黑龙江省,哈尔滨市,平房区,哈尔滨市
晓威发艺(新月街),新疆街道新月街1309楼,"126.630232,45.608313",15845116800,黑龙江省,哈尔滨市,平房区,哈尔滨市
唯艺造型,建安小区东区北门西60米,"126.656180,45.586988",13394600550,黑龙江省,哈尔滨市,平房区,哈尔滨市
银座发型连锁机构(顺达商厦店),新疆大街75号顺达商厦F1层,"126.632741,45.606698",15845116068,黑龙江省,哈尔滨市,平房区,哈尔滨市
小雯造型,新疆街道新月街1303楼,"126.628750,45.607457",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
国良造型,新祥里街61号楼,"126.629634,45.606529",18246555009,黑龙江省,哈尔滨市,平房区,哈尔滨市
美莎莲美业(平房店),兴建家园B区二期750号楼4号商服2层,"126.644058,45.602821",0451-86519069,黑龙江省,哈尔滨市,平房区,哈尔滨市
艾格护肤造型(建平小区店),青年街804楼9-5号,"126.640448,45.601828",18246115382;18346163700,黑龙江省,哈尔滨市,平房区,哈尔滨市
沐森造型美发沙龙,新友街07楼,"126.627159,45.605362",13100808463,黑龙江省,哈尔滨市,平房区,哈尔滨市
大鹏发艺(兴建小区会宾家园店),建文街723楼,"126.646414,45.604805",18345368113,黑龙江省,哈尔滨市,平房区,哈尔滨市
人美专业烫染沙龙,东升家园622楼商服文化宫左侧,"126.673668,45.589655",13845186485,黑龙江省,哈尔滨市,平房区,哈尔滨市
托尼的福,友协街345栋1层8单元099号,"126.635114,45.602911",15776252909,黑龙江省,哈尔滨市,平房区,哈尔滨市
佳美美发(新疆三道街店),阿哩汪汪112号楼,"126.622330,45.607117",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
彩丝造型(绿色新城东区店),绿色新城东区23栋1层建安头道街副21-28号,"126.659853,45.580831",15104505203,黑龙江省,哈尔滨市,平房区,哈尔滨市
小司美发会所(建平小区店),青年街18-5号,"126.640083,45.602481",0451-86550877,黑龙江省,哈尔滨市,平房区,哈尔滨市
发织秀Hair news美发沙龙,友协大街69-1,"126.631191,45.608019",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
壹号美发沙龙,友协大街副178号,"126.631936,45.606653",16601054111,黑龙江省,哈尔滨市,平房区,哈尔滨市
顶尖造型(秀水名苑一期店),秀水名苑1期6号楼3单元,"126.642174,45.582104",15590885508,黑龙江省,哈尔滨市,平房区,哈尔滨市
视点发型设计,友协大街与新祥里街交叉口西200米,"126.629446,45.607212",19969600229,黑龙江省,哈尔滨市,平房区,哈尔滨市
韩文造型,保国大街23-8,"126.669519,45.588191",15045667897,黑龙江省,哈尔滨市,平房区,哈尔滨市
晓峰造型,新祥里街9号(新疆大街地铁站1号口步行190米),"126.630504,45.606065",0451-87105878,黑龙江省,哈尔滨市,平房区,哈尔滨市
慕冉美业假发定制,哈南十五路012号,"126.645591,45.582138",18004516601,黑龙江省,哈尔滨市,平房区,哈尔滨市
首领缪斯造型(平房店),友协大街与新疆大街交叉口西北100米,"126.632024,45.606496",0451-86535639,黑龙江省,哈尔滨市,平房区,哈尔滨市
独品造型专业烫染(卫健街店),卫健街与新国街交叉口南60米,"126.669684,45.586830",15246800046,黑龙江省,哈尔滨市,平房区,哈尔滨市
阿峰造型(东升街店),东升街12-5号,"126.674275,45.590325",0451-87107467,黑龙江省,哈尔滨市,平房区,哈尔滨市
神圣烫染沙龙,新月街28-36号,"126.629287,45.607395",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
阿君理容中心(兴建小区会宾家园店),兴建小区会宾家园722号楼,"126.645923,45.604621",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
慧慧美发设计室(宏博家园店),宏博家园6号楼9门,"126.640339,45.615079",15945199669,黑龙江省,哈尔滨市,平房区,哈尔滨市
超然美发(花园小区店),友协大街43-5正西方向170米花园小区406栋,"126.635704,45.600576",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
顶上美发,哈南十五路016号门市,"126.645636,45.582076",15146294595,黑龙江省,哈尔滨市,平房区,哈尔滨市
名流烫染(友协东三道街店),友协东三道街262楼,"126.639233,45.604503",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
花想容烫染形象会馆(青年街店),青年街4号,"126.641356,45.599778",13804604446,黑龙江省,哈尔滨市,平房区,哈尔滨市
瞧好男士理发馆,新祥里街8-1号61号楼7单元1楼2门(住宅),"126.629985,45.606371",16646570619,黑龙江省,哈尔滨市,平房区,哈尔滨市
心动造型(兴建小区会宾家园店),会宾路16号兴建小区会宾家园730楼1单元101,"126.648510,45.604270",13039978498,黑龙江省,哈尔滨市,平房区,哈尔滨市
湖北美发工作室,新月街与友协大街交叉口西140米,"126.629457,45.608046",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
雅琳发艺(建文小区店),建文小区4号楼,"126.625605,45.601888",15246805162,黑龙江省,哈尔滨市,平房区,哈尔滨市
Y&M品牌美发沙龙(北厂店),友协大街67-5号,"126.632383,45.607208",13274619181,黑龙江省,哈尔滨市,平房区,哈尔滨市
理享造型,建文街724楼2-11号门市理享造型,"126.647354,45.605109",18746166614,黑龙江省,哈尔滨市,平房区,哈尔滨市
纳蓝形象设计(秀水名苑一期店),哈南十五路秀水名苑一期12号楼一单元,"126.644211,45.582646",18245111575,黑龙江省,哈尔滨市,平房区,哈尔滨市
伊可Hair Salon(绿色新城·嘉苑店),绿色新城1栋3单元102室,"126.660154,45.579799",17614509975,黑龙江省,哈尔滨市,平房区,哈尔滨市
阿昌发型设计室(新建小区店),通宾街6-14号,"126.645509,45.601055",15945772633,黑龙江省,哈尔滨市,平房区,哈尔滨市
元素美发沙龙(哈尔滨红旗·Mall购物中心店),新月街与新友街交叉口东180米,"126.628453,45.606481",15545956117,黑龙江省,哈尔滨市,平房区,哈尔滨市
发现造型(友谊家园店),新疆大街135号友谊家园,"126.626627,45.604781",15561549552,黑龙江省,哈尔滨市,平房区,哈尔滨市
M+美发沙龙(万达华府E区店),平房区开发区哈南九路与南第十大道东北侧e4栋商服单元一层17号,"126.617876,45.572385",17036689876,黑龙江省,哈尔滨市,平房区,哈尔滨市
禧欢理美发沙龙,新国街18号18-5-5号,"126.662555,45.585674",18745191857,黑龙江省,哈尔滨市,平房区,哈尔滨市
大鹏发型设计工作室,新疆大街709楼179-3,"126.622577,45.602859",17703664344,黑龙江省,哈尔滨市,平房区,哈尔滨市
魅力人生美发,保利明月时光17-1-102,"126.668935,45.578326",15204697142,黑龙江省,哈尔滨市,平房区,哈尔滨市
名轩造型(秀水店),哈南第二大道秀水名苑二期9号楼1单元101室,"126.641745,45.581482",16268648886,黑龙江省,哈尔滨市,平房区,哈尔滨市
品尚形象设计,新疆街道君策·上河郡都和苑2期,"126.625788,45.600190",13613672994;15046811752,黑龙江省,哈尔滨市,平房区,哈尔滨市
铭仁发艺(兴建小区A区店),兴建小区A区739号楼21-9,"126.644938,45.603790",18745021987,黑龙江省,哈尔滨市,平房区,哈尔滨市
慕尚美发沙龙(专业烫染店),新祥里街61号楼2单元1楼1门,"126.629548,45.606543",18345159828,黑龙江省,哈尔滨市,平房区,哈尔滨市
首艺造型(友协东三道街店),友协东三道街261楼(执法局旁30米),"126.639868,45.604701",13104619992,黑龙江省,哈尔滨市,平房区,哈尔滨市
阿华发型设计室,机装街与新疆大街交叉口南40米,"126.624192,45.602777",18814510509,黑龙江省,哈尔滨市,平房区,哈尔滨市
杰美美容美发·美甲美睫(万达华府F区店),万达华府F2-28号,"126.617996,45.572003",15045847507,黑龙江省,哈尔滨市,平房区,哈尔滨市
young美格(绿色新城店),建安头道街附2号绿色新城西区,"126.658947,45.580897",15204654271,黑龙江省,哈尔滨市,平房区,哈尔滨市
美述沙龙,南九路美述沙龙,"126.631971,45.592966",13674664820,黑龙江省,哈尔滨市,平房区,哈尔滨市
丝艺造型(建文街店),建文街722楼162中学对面,"126.646079,45.604657",15145076520,黑龙江省,哈尔滨市,平房区,哈尔滨市
艺尚造型,东升家园619楼门市,"126.673922,45.590199",15146618592,黑龙江省,哈尔滨市,平房区,哈尔滨市
小辉发廊(兴建小区和平家园店),建文街13-13号,"126.641430,45.604100",15046185187,黑龙江省,哈尔滨市,平房区,哈尔滨市
雪晴美发,友协东四道街341楼2单元1门,"126.636310,45.604875",13613616742,黑龙江省,哈尔滨市,平房区,哈尔滨市
首艺造型(秀水名苑一期店),秀水名苑西门龙滨路81号,"126.635598,45.582754",15945774003,黑龙江省,哈尔滨市,平房区,哈尔滨市
美程造型(万达华府D区店),万达华府D区D9-09,"126.614624,45.571684",18846166561,黑龙江省,哈尔滨市,平房区,哈尔滨市
萌丝造型工作室,224楼萌丝造型,"126.671978,45.589429",15546180048,黑龙江省,哈尔滨市,平房区,哈尔滨市
初心发舍,新祥里街61号楼凤凰医院旁,"126.629941,45.606443",18004602242,黑龙江省,哈尔滨市,平房区,哈尔滨市
好心情美发园(平房店),新平街15号,"126.616975,45.607036",13674673841,黑龙江省,哈尔滨市,平房区,哈尔滨市
阿杰造型(绿地·香堤九里店),绿地·香堤九里东3门旁,"126.640015,45.571185",18245037579,黑龙江省,哈尔滨市,平房区,哈尔滨市
飘丝坊发艺(友协西五道街店),公社大街与公社三道街交叉口东100米,"126.632495,45.604272",13144512622,黑龙江省,哈尔滨市,平房区,哈尔滨市
简呗美发工作室(秀水名苑3期店),秀水名苑三期1-6号商服,"126.652253,45.582061",17645796647,黑龙江省,哈尔滨市,平房区,哈尔滨市
鼎艺发型设计(南城明珠店),普惠大道4号,"126.608014,45.593937",18345722244,黑龙江省,哈尔滨市,平房区,哈尔滨市
双喜美发造型,东升街9号224楼,"126.671685,45.589343",15231734748,黑龙江省,哈尔滨市,平房区,哈尔滨市
艺萍美发工作室,公社大街花园小区420楼,"126.632915,45.599440",15246800994;15746800992,黑龙江省,哈尔滨市,平房区,哈尔滨市
新潮发艺(哈飞家园店),哈飞家园14号楼,"126.652861,45.605297",13604516707,黑龙江省,哈尔滨市,平房区,哈尔滨市
百禾源美发,同心街9号,"126.622902,45.604161",13936491146,黑龙江省,哈尔滨市,平房区,哈尔滨市
小慧发艺,新疆大街同心街413楼,"126.622778,45.604097",15845142186,黑龙江省,哈尔滨市,平房区,哈尔滨市
精雅发型设计室(机电嘉园西区店),联盟大街137号(教师楼),"126.670003,45.580874",13674603557,黑龙江省,哈尔滨市,平房区,哈尔滨市
红祥发屋(哈飞住宅店),友协东头道街13-1,"126.640401,45.599348",13503605337,黑龙江省,哈尔滨市,平房区,哈尔滨市
审美烫染沙龙,新祥里街副11号,"126.630463,45.606170",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
旺角造型(建文小区店),新疆街道洪镜街建文小区,"126.626653,45.602478",18745833748,黑龙江省,哈尔滨市,平房区,哈尔滨市
小时代发屋,友协西五道街与公社大街交叉口东60米,"126.632231,45.603709",15754503988,黑龙江省,哈尔滨市,平房区,哈尔滨市
名仕造型(平房店),C9-03,"126.615479,45.574246",17519482438,黑龙江省,哈尔滨市,平房区,哈尔滨市
他她造型(绿色新城西区店),建安头道街18-11门市,"126.659047,45.581313",15663850456,黑龙江省,哈尔滨市,平房区,哈尔滨市
名剪形象设计(万达华府H区店),哈南第十大道万达华府门市H2-06,"126.618748,45.571894",13206678118,黑龙江省,哈尔滨市,平房区,哈尔滨市
千源造型美发工作室,保国街,"126.668239,45.590053",15046785551,黑龙江省,哈尔滨市,平房区,哈尔滨市
凯丝迪发艺,新祥里街61号楼五单元103室号,"126.629990,45.606441",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
初见烫染工作室,友协大街附67-6号,"126.632460,45.607806",15546109103,黑龙江省,哈尔滨市,平房区,哈尔滨市
千姿彩美发设计(东平小区店),友协东四道街(东平小区)5-9号,"126.636331,45.605122",13703650557,黑龙江省,哈尔滨市,平房区,哈尔滨市
成蝶烫染沙龙,新月街与新友街交叉口东北140米,"126.627689,45.606649",15045107327,黑龙江省,哈尔滨市,平房区,哈尔滨市
睿丽发艺专业烫染,北厂新月街1号2单元1楼,"126.630346,45.608355",13359517116,黑龙江省,哈尔滨市,平房区,哈尔滨市
程成造型(友协商场店),公社大街68号友协商场F1层,"126.630891,45.603518",13946015419,黑龙江省,哈尔滨市,平房区,哈尔滨市
素月造型美发工作室(友谊家园店),新疆大街新谊街15号1层商服,"126.623927,45.604043",15546164805,黑龙江省,哈尔滨市,平房区,哈尔滨市
天泉发廊,新月街28-36号楼34号,"126.629247,45.607533",13845185895,黑龙江省,哈尔滨市,平房区,哈尔滨市
艺剪诚铭(建安小区店),建安花园小区4号楼5-23号,"126.653710,45.585273",18704610373,黑龙江省,哈尔滨市,平房区,哈尔滨市
格美美发造型(新祥里街店),新祥里街61号(新疆大街地铁站1号口步行290米),"126.629691,45.606556",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
湖北理发(兴建小区A区店),兴建家园743楼1单元1室,"126.646014,45.602627",13199575775,黑龙江省,哈尔滨市,平房区,哈尔滨市
琅屿造型(秀水名苑一期店),兴建街道秀水名苑一期15号楼,"126.641785,45.582629",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
鑫轩发艺,保国大街与东升街交叉口东南60米,"126.669594,45.588079",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
大洋洋造型(东升街店),东升街12-1号,"126.674392,45.589909",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
黛草堂植物养发染发服务部(兴建小区和平家园店),兴建街58号兴建小区和平家园,"126.641271,45.604911",13613641639,黑龙江省,哈尔滨市,平房区,哈尔滨市
俏佳人剪业(建安小区店),联盟街道建安街337号,"126.654464,45.587119",13796011477,黑龙江省,哈尔滨市,平房区,哈尔滨市
小凤发型室,东升家园618楼,"126.673871,45.590904",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
一诺美发沙龙(哈南万达店),平房区哈南万达华府E区商铺E3-04(紧邻公园),"126.616416,45.573829",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
金剪发艺(南城首府店),滨河大道南城首府,"126.612423,45.598485",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
这是一家美发店,友协东三道街9-4号,"126.639733,45.604640",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
喜理专业美发沙龙,哈南万达广场H2区-11,"126.618593,45.571852",18745831906,黑龙江省,哈尔滨市,平房区,哈尔滨市
顶尖造型(青年街店),友协东二道街与青年街交叉口西南20米,"126.640738,45.600753",13936498884,黑龙江省,哈尔滨市,平房区,哈尔滨市
双宇发屋,万米小区1407楼,"126.617116,45.606254",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
亮点美发,保国大街与新国街交叉口北20米,"126.669913,45.587879",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
名门造型(建安小区店),建安四道街与滨电路交叉口西北200米,"126.651825,45.585475",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
崇尚发艺(平房村十一道街店),平房村十一道街与平房路交叉口东280米,"126.687671,45.600654",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
地王发廊(东轻家园店),新疆三道街东轻家园116楼,"126.619492,45.606383",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
新华发廊,保国大街25-2,"126.669314,45.588747",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
古贝发艺(东升街店),保国五道街与东升街交叉口北20米,"126.671572,45.589343",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
宏佳美发,保国三道街与东升街交叉口南20米,"126.670569,45.588655",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
晓明发型设计(南城明珠店),普惠大道与新疆西路交叉口西160米,"126.610799,45.593214",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
1997发型工作室,保国二道街与东升街交口176楼,"126.670113,45.588868",18918374612,黑龙江省,哈尔滨市,平房区,哈尔滨市
人美发艺(保国店),保国街192号,"126.670376,45.587633",13604512561,黑龙江省,哈尔滨市,平房区,哈尔滨市
安森造型(香悦蓝天下店),东海路76号,"126.649696,45.605802",15663419855,黑龙江省,哈尔滨市,平房区,哈尔滨市
阿赞美发(旗舰店),新疆大街348路终点车站对面,"126.618805,45.601723",15945117953,黑龙江省,哈尔滨市,平房区,哈尔滨市
小白美发,兴建街道兴建街78号,"126.641878,45.606000",13936494958,黑龙江省,哈尔滨市,平房区,哈尔滨市
潮派造型,建文街321楼78-8号,"126.637496,45.602005",18946189905,黑龙江省,哈尔滨市,平房区,哈尔滨市
随心剪吧,东升街5-20,"126.674233,45.591039",[],黑龙江省,哈尔滨市,平房区,哈尔滨市
尚越形象,洪镜街与机装街交叉口东40米,"126.625813,45.601560",18204516123,黑龙江省,哈尔滨市,平房区,哈尔滨市
